"","Var1","Var2","value"
"984",2012,58,"  5.476"
"985",2013,58,"  6.989"
"986",NA,58,NA
"987",NA,59,"Белорецк"
"988",1999,59,"  6.488"
"989",2000,59,"  5.174"
"990",2001,59," 5.083"
"991",2002,59,"  3.564"
"992",2003,59,"  2.887"
"993",2004,59,"  2.810"
"994",2005,59,"  2.724"
"995",2006,59,"  2.064"
"996",2007,59,"  2.296"
"997",2008,59,"  2.212"
"998",2009,59,"  1.863"
"999",2010,59,"  3.179"
"1000",2011,59,"  2.375"
"1001",2012,59,"  2.814"
"1002",2013,59,"  2.956"
"1003",NA,59,NA
"1004",NA,60,"Бирск"
"1005",1999,60,"  0.625"
"1006",2000,60,"  0.607"
"1007",2001,60," 0.676"
"1008",2002,60,"  0.659"
"1009",2003,60,"  0.519"
"1010",2004,60,"  0.484"
"1011",2005,60,"  0.298"
"1012",2006,60,"  0.232"
"1013",2007,60,"  0.230"
"1014",2008,60,"  0.231"
"1015",2009,60,"  0.246"
"1016",2010,60,"  0.321"
"1017",2011,60,"  0.338"
"1018",2012,60,"  0.313"
"1019",2013,60,"  2.029"
"1020",NA,60,NA
"1021",NA,61,"Благовещенск"
"1022",1999,61,"  5.999"
"1023",2000,61,"  3.406"
"1024",2001,61," 3.675"
"1025",2002,61,"  3.181"
"1026",2003,61,"  3.688"
"1027",2004,61,"  2.767"
"1028",2005,61,"  4.182"
"1029",2006,61,"  3.670"
"1030",2007,61,"  5.468"
"1031",2008,61,"  5.447"
"1032",2009,61,"  4.498"
"1033",2010,61,"  2.707"
"1034",2011,61,"  3.297"
"1035",2012,61,"  3.381"
"1036",2013,61,"  3.856"
"1037",NA,61,NA
"1038",NA,62,"г.Дюртюли"
"1039",1999,62,"  0.418"
"1040",2000,62,"  0.364"
"1041",2001,62," 5.467"
"1042",2002,62,"  3.078"
"1043",2003,62,"  2.647"
"1044",2004,62,"  2.561"
"1045",2005,62,"  2.066"
"1046",2006,62,"  0.637"
"1047",2007,62,"  0.627"
"1048",2008,62,"  0.417"
"1049",2009,62,"  0.536"
"1050",2010,62,"  0.479"
"1051",2011,62,"  1.366"
"1052",2012,62,"  0.702"
"1053",2013,62,"  2.245"
"1054",NA,62,NA
"1055",NA,63,"г.Давлеканово"
"1056",1999,63,"  0.787"
"1057",2000,63,"  0.537"
"1058",2001,63," 0.582"
"1059",2002,63,"  0.492"
"1060",2003,63,"  0.457"
"1061",2004,63,"  0.440"
"1062",2005,63,"  0.264"
"1063",2006,63,"  0.219"
"1064",2007,63,"  0.206"
"1065",2008,63,"  0.130"
"1066",2009,63,"  0.161"
"1067",2010,63,"  0.167"
"1068",2011,63,"  0.161"
"1069",2012,63,"  0.212"
"1070",2013,63,"  2.891"
"1071",NA,63,NA
"1072",NA,64,"Ишимбай"
"1073",1999,64,"  0.848"
"1074",2000,64,"  0.766"
"1075",2001,64," 0.977"
"1076",2002,64,"  0.882"
"1077",2003,64,"  0.790"
"1078",2004,64,"  0.695"
"1079",2005,64,"  0.707"
"1080",2006,64,"  0.503"
"1081",2007,64,"  0.503"
"1082",2008,64,"  0.504"
"1083",2009,64,"  0.629"
"1084",2010,64,"  0.661"
"1085",2011,64,"  0.659"
"1086",2012,64,"  0.719"
"1087",2013,64,"  1.328"
"1088",NA,64,NA
"1089",NA,65,"Кумертау"
"1090",1999,65," 11.986"
"1091",2000,65," 13.275"
"1092",2001,65,"19.347"
"1093",2002,65," 13.629"
"1094",2003,65," 14.368"
"1095",2004,65," 14.857"
"1096",2005,65," 14.762"
"1097",2006,65," 16.863"
"1098",2007,65," 17.548"
"1099",2008,65," 17.548"
"1100",2009,65," 13.163"
"1101",2010,65,"  8.116"
"1102",2011,65,"  7.877"
"1103",2012,65," 13.346"
"1104",2013,65," 17.128"
"1105",NA,65,NA
"1106",NA,66,"Мелеуз"
"1107",1999,66," 10.051"
"1108",2000,66," 12.682"
"1109",2001,66,"10.640"
"1110",2002,66,"  2.570"
"1111",2003,66,"  1.941"
"1112",2004,66,"  2.170"
"1113",2005,66,"  2.638"
"1114",2006,66,"  2.400"
"1115",2007,66,"  2.237"
"1116",2008,66,"  2.233"
"1117",2009,66,"  1.565"
"1118",2010,66,"  2.166"
"1119",2011,66,"  2.591"
"1120",2012,66,"  2.172"
"1121",2013,66,"  3.056"
"1122",NA,66,NA
"1123",NA,67,"Нефтекамск"
"1124",1999,67,"  3.676"
"1125",2000,67,"  3.600"
"1126",2001,67," 4.255"
"1127",2002,67,"  4.789"
"1128",2003,67,"  4.465"
"1129",2004,67,"  4.174"
"1130",2005,67,"  4.094"
"1131",2006,67,"  4.051"
"1132",2007,67," 18.752"
"1133",2008,67," 18.690"
"1134",2009,67,"  8.283"
"1135",2010,67," 12.508"
"1136",2011,67," 12.584"
"1137",2012,67," 11.382"
"1138",2013,67," 10.819"
"1139",NA,67,NA
"1140",NA,68,"г.Октябрьский"
"1141",1999,68,"  1.660"
"1142",2000,68,"  1.512"
